index,hypothesis,system,mqm,sqm,gemba,domain,doc,source,reference
1164,"In the freezing temperatures, they often appeal for silence, as they desperately try to listen for any signs of life amidst the crumbling concrete piles.",refA,-0.0,82.0,0.0,news,rfi-chinese.19813,在冰冷的温度下，他们经常呼吁保持安静，因为他们竭力想从破旧的混凝土堆中听到任何生命的声音。,"In the freezing temperatures, they often appeal for silence, as they desperately try to listen for any signs of life amidst the crumbling concrete piles."
1165,"According to a recent report by Reuters, two more women have been rescued after surviving for several days in the wreckage of the earthquake.",refA,-0.0,81.0,0.0,news,rfi-chinese.19813,据路透社今天报道称，又有两名妇女在地震废墟中幸存数日后被救出。,"According to a recent report by Reuters, two more women have been rescued after surviving for several days in the wreckage of the earthquake."
1166,"However, the death toll from the earthquake has risen to 24,150 people.",refA,-0.0,81.0,0.0,news,rfi-chinese.19813,"但是，地震造成的死亡人数攀升达 24,150 人。","However, the death toll from the earthquake has risen to 24,150 people."
1167,"The death toll in Turkey stands at 20,665 people, while in Syria, it has surpassed 3,500 people.",refA,-1.0,83.0,0.0,news,rfi-chinese.19813,"土耳其死亡人数为 20,665 人，叙利亚死亡人数超过 3,500 人。","The death toll in Turkey stands at 20,665 people, while in Syria, it has surpassed 3,500 people."
1168,"Monday's 7.8-magnitude quake, which continued with several strong aftershocks in Turkey and Syria, was the seventh deadliest natural disaster of the century, surpassing Japan's 2011 earthquake and tsunami and approaching the 31,000 deaths caused by the 2003 earthquake in neighboring Iran.",refA,-0.1,78.0,0.0,news,rfi-chinese.19813,"周一发生的 7.8 级地震，在土耳其和叙利亚继续发生了几次强烈余震，是本世纪第七大致命自然灾害，超过了日本 2011 年的地震和海啸，接近 2003 年邻国伊朗地震造成的 31,000 人死亡。","Monday's 7.8-magnitude quake, which continued with several strong aftershocks in Turkey and Syria, was the seventh deadliest natural disaster of the century, surpassing Japan's 2011 earthquake and tsunami and approaching the 31,000 deaths caused by the 2003 earthquake in neighboring Iran."
1169,"The strong earthquake that occurred in northwestern Turkey in 1999 resulted in the death of over 17,000 people.",refA,-1.0,75.0,0.0,news,rfi-chinese.19813,"1999 年在土耳其西北部发生的类似强烈地震造成 17,000 多人丧生。","The strong earthquake that occurred in northwestern Turkey in 1999 resulted in the death of over 17,000 people."
1170,"Rescuers have pulled two women from the rubble of collapsed buildings in Turkey after they were trapped for 122 hours after the region's deadliest earthquake in 20 years, Turkish authorities said on Saturday.",refA,-1.0,87.0,0.0,news,rfi-chinese.19813,土耳其当局周六表示，在该地区发生 20 年来最致命的地震后，两名妇女被困 122 小时，救援人员在土耳其从倒塌建筑物的废墟中救出了这两名妇女。,"Rescuers have pulled two women from the rubble of collapsed buildings in Turkey after they were trapped for 122 hours after the region's deadliest earthquake in 20 years, Turkish authorities said on Saturday."
1171,"Another injured 55-year-old man has been identified as Masallah Cicek, who was rescued from the wreckage of a collapsed building in Diyarbakir, the largest city in southeastern Turkey.",refA,-1.0,82.0,-1.0,news,rfi-chinese.19813,另一名受伤的 55 岁男子被确认为 Masallah Cicek，他是从土耳其东南部最大城市迪亚巴克尔一座倒塌建筑的废墟中救出来的。,"Another injured 55-year-old man has been identified as Masallah Cicek, who was rescued from the wreckage of a collapsed building in Diyarbakir, the largest city in southeastern Turkey."
1189,"Vietnam News Agency (Hanoi) - A special envoy from the Vietnam News Agency reports that during the visit to Brunei Darussalam, on the morning of February 11, Prime Minister Phan Minh Chinh and his spouse visited the University of Brunei Darussalam (UBD), also known as ""Brunei University.""",refA,-11.0,91.0,-25.0,news,vietnam_plus-zh.14206,越通社河内——越通社特派记者报道，在访问文莱达鲁萨兰国期间，2月11日上午，越南政府总理范明政与夫人走访了文莱达鲁萨兰大学（UBD，简称“文莱大学”）。,"Vietnam News Agency (Hanoi) - A special envoy from the Vietnam News Agency reports that during the visit to Brunei Darussalam, on the morning of February 11, Prime Minister Phan Minh Chinh and his spouse visited the University of Brunei Darussalam (UBD), also known as ""Brunei University."""
1190,"The University of Brunei is the largest center of higher education and scientific research in Brunei, and is ranked third in the region's university rankings.",refA,-0.0,95.0,-5.0,news,vietnam_plus-zh.14206,文莱大学是文莱最大的高等高等教育和科学研究中心，在本地区大学排行榜上位居第三。,"The University of Brunei is the largest center of higher education and scientific research in Brunei, and is ranked third in the region's university rankings."
1191,Brunei University symbolizes the cooperation between Vietnam and Brunei in the field of education and training.,refA,-1.0,93.0,0.0,news,vietnam_plus-zh.14206,文莱大学是越南与文莱在教育培训合作中的象征之一。,Brunei University symbolizes the cooperation between Vietnam and Brunei in the field of education and training.
1192,"IThe University of Brunei officially established a partnership with FPT University in Vietnam in July 2013, with the main area of cooperation being English language training.",refA,-0.0,94.0,0.0,news,vietnam_plus-zh.14206,文莱大学于2013年7月正式与越南FPT大学建立合作关系，主要合作领域是英语培训。,"IThe University of Brunei officially established a partnership with FPT University in Vietnam in July 2013, with the main area of cooperation being English language training."
1193,"In addition to English, French, Moral Education, Japanese, and Korean languages, the University of Brunei Darussalam (UBD) has also included Vietnamese language in its teaching curriculum.",refA,-5.1,90.0,-25.0,news,vietnam_plus-zh.14206,除了英语、法语、德育、日语和韩语等外语外，文莱大学还将越南语纳入教学课程。,"In addition to English, French, Moral Education, Japanese, and Korean languages, the University of Brunei Darussalam (UBD) has also included Vietnamese language in its teaching curriculum."
1194,"During the visit to the University of Brunei Darussalam, Prime Minister Phan Minh Chinh and his spouse engaged in conversations with students from the Vietnamese language class, fostering a meaningful exchange of ideas.",refA,-1.0,83.0,0.0,news,vietnam_plus-zh.14206,走访文莱大学时，越南政府总理范明政和夫人同越南语班的学生进行了交流。,"During the visit to the University of Brunei Darussalam, Prime Minister Phan Minh Chinh and his spouse engaged in conversations with students from the Vietnamese language class, fostering a meaningful exchange of ideas."
1195,"Prime Minister Pham Minh Triet is happy that more and more foreigners enjoy learning Vietnamese, and thus contribute positively to promoting the image of Vietnamese cultural characteristics and customs to the world.",refA,-11.1,92.0,-7.0,news,vietnam_plus-zh.14206,范明政总理为越来越多的外国人喜欢学习越南语而感到高兴，进而为把越南文化特色和风土人情形象推广到世界各地作出积极贡献。,"Prime Minister Pham Minh Triet is happy that more and more foreigners enjoy learning Vietnamese, and thus contribute positively to promoting the image of Vietnamese cultural characteristics and customs to the world."
1196,"Government Prime Minister Pham Minh Triet expressed his belief and hope that the Vietnamese language teachers at the University of Brunei are getting stronger and stronger; the students of the Vietnamese language classes are getting more and more interested in Vietnamese, studying hard to be able to use Vietnamese fluently soon and become ambassadors of friendly and cooperative relations between Vietnam and Vietnam.",refA,-16.0,76.0,-25.0,news,vietnam_plus-zh.14206,政府总理范明政表示相信并希望文莱大学的越南语教师队伍日益强大；越南语班的学员越来越对越南语感兴趣，努力学习，能够早日使用流利的越南语，并成为越文两国友好合作关系的使者。,"Government Prime Minister Pham Minh Triet expressed his belief and hope that the Vietnamese language teachers at the University of Brunei are getting stronger and stronger; the students of the Vietnamese language classes are getting more and more interested in Vietnamese, studying hard to be able to use Vietnamese fluently soon and become ambassadors of friendly and cooperative relations between Vietnam and Vietnam."
1197,"Taking this opportunity, PM Pham Minh Triet also communicated via video with Vietnamese students who are studying English at the FPT-UBD Global Center in Da Nang to learn about their studies, especially during the epidemic.",refA,-2.0,91.0,-5.0,news,vietnam_plus-zh.14206,趁此机会，范明政总理还通过视频方式与正在岘港市FPT-UBD全球中心学习英语的越南学生进行交流，了解他们特别是在疫情期间的学习情况。,"Taking this opportunity, PM Pham Minh Triet also communicated via video with Vietnamese students who are studying English at the FPT-UBD Global Center in Da Nang to learn about their studies, especially during the epidemic."
1198,"Prime Minister Phan Minh Chinh believes that the cooperation between FPT University and the University of Brunei Darussalam, particularly the FPT-UBD Global Center, serves as a vivid symbol of educational collaboration between Vietnam and Brunei.",refA,-2.0,93.0,-1.0,news,vietnam_plus-zh.14206,政府总理范明政认为，越南FPT大学与文莱大学之间的合作关系特别是FPT-UBD全球中心是越南与文莱教育合作关系中的生动象征。,"Prime Minister Phan Minh Chinh believes that the cooperation between FPT University and the University of Brunei Darussalam, particularly the FPT-UBD Global Center, serves as a vivid symbol of educational collaboration between Vietnam and Brunei."
1208,"Vietnam News Agency (Hanoi) - A special envoy from the Vietnam News Agency reports that the official visit of Prime Minister Phan Minh Chinh and his spouse to Singapore and Brunei has been successfully concluded, yielding comprehensive, pragmatic, and tangible outcomes.",refA,-1.0,64.0,-5.0,news,vietnam_plus-zh.14218,越通社河内——越通社特派记者报道，越南政府总理范明政和夫妇对新加坡和文莱进行正式访问已圆满成功，并取得了全面、务实且具体的成果。,"Vietnam News Agency (Hanoi) - A special envoy from the Vietnam News Agency reports that the official visit of Prime Minister Phan Minh Chinh and his spouse to Singapore and Brunei has been successfully concluded, yielding comprehensive, pragmatic, and tangible outcomes."
1209,"During the three-day visit to Singapore and Brunei, Prime Minister Phan Minh Chinh participated in over 30 different activities.",refA,-1.0,82.0,0.0,news,vietnam_plus-zh.14218,在出访新加坡和文莱的三天之内，范明政总理共参加了30多项不同的活动。,"During the three-day visit to Singapore and Brunei, Prime Minister Phan Minh Chinh participated in over 30 different activities."
1210,"The achievements made during the visit have injected new impetus into the continuous development of the strategic partnership between Vietnam and Singapore, as well as the comprehensive partnership between Vietnam and Brunei, towards deeper, broader, and more effective cooperation.",refA,-6.0,79.0,-25.0,news,vietnam_plus-zh.14218,所取得的成效为促进越新两国战略伙伴关系和越文全面伙伴关系不断朝着更深、更广和有效的方向发展注入了新的动力。,"The achievements made during the visit have injected new impetus into the continuous development of the strategic partnership between Vietnam and Singapore, as well as the comprehensive partnership between Vietnam and Brunei, towards deeper, broader, and more effective cooperation."
1211,"During his visit to the two countries, Prime Minister Pham Minh Triet continued to reaffirm the external line of the Vietnamese Party and State, namely independence, pluralism, multiplicity of changes, readiness to be a good friend and reliable partner of all countries, as well as a responsible member of the international community.",refA,-2.0,84.0,-5.0,news,vietnam_plus-zh.14218,在访问两国期间，范明政总理继续重申越南党和国家的对外路线，即独立自主，多元化，多变化，愿做所有国家的好朋友和可靠伙伴，以及国际社会的负责任成员。,"During his visit to the two countries, Prime Minister Pham Minh Triet continued to reaffirm the external line of the Vietnamese Party and State, namely independence, pluralism, multiplicity of changes, readiness to be a good friend and reliable partner of all countries, as well as a responsible member of the international community."
1212,"Strengthening the relationship with Singapore and Brunei is a mutual need for both countries, aimed at enhancing the well-being of their respective peoples and promoting peace, stability, and development in the region and the world.",refA,-1.0,86.0,-1.0,news,vietnam_plus-zh.14218,加强与新加坡和文莱的关系是各自国家的需求，致力于增进各自国家人民的福祉，致力于地区和世界的和平、稳定和发展。,"Strengthening the relationship with Singapore and Brunei is a mutual need for both countries, aimed at enhancing the well-being of their respective peoples and promoting peace, stability, and development in the region and the world."
1213,"Strengthening the relationship with Singapore and Brunei is a mutual need for both countries, aiming to enhance the well-being of their respective peoples and contribute to regional and global peace, stability, and development.",refA,-6.0,66.0,0.0,news,vietnam_plus-zh.14218,在各场会见和谈会上，范明政总理同新加坡和文莱领导人都一致同意通过高级代表团互访、有效开展各项双边合作机制和各项重要合作协议等方式不断增强与越南的政治互信。,"Strengthening the relationship with Singapore and Brunei is a mutual need for both countries, aiming to enhance the well-being of their respective peoples and contribute to regional and global peace, stability, and development."
1214,"During this visit, numerous cooperation documents were signed, solidifying the commitment to enhance collaboration between the two countries.",refA,-0.0,73.0,0.0,news,vietnam_plus-zh.14218,许多合作文件在此次访问期间得到了签署。,"During this visit, numerous cooperation documents were signed, solidifying the commitment to enhance collaboration between the two countries."
1215,"Among them, the signing of the Memorandum of Understanding on Green and Digital Economy Partnership with Singapore and the Action Plan for Strengthening the Comprehensive Partnership between Vietnam and Brunei in the period of 2023-2027 were the two major highlights of the visit.",refA,-1.0,72.0,0.0,news,vietnam_plus-zh.14218,其中，与新加坡签署的《绿色和数字经济伙伴关系谅解备忘录》和与文莱签署的《2023-2027年阶段加强越文全面伙伴关系的行动计划》是两大亮点。,"Among them, the signing of the Memorandum of Understanding on Green and Digital Economy Partnership with Singapore and the Action Plan for Strengthening the Comprehensive Partnership between Vietnam and Brunei in the period of 2023-2027 were the two major highlights of the visit."
1216,Vietnam and Singapore have signed the Memorandum of Understanding on Green and Digital Economy Partnership.,refA,-0.0,71.0,0.0,news,vietnam_plus-zh.14218,越南与新加坡签署《绿色和数字经济伙伴关系谅解备忘录》。,Vietnam and Singapore have signed the Memorandum of Understanding on Green and Digital Economy Partnership.
1217,Photo from Vietnam News Agency,refA,-0.0,86.0,0.0,news,vietnam_plus-zh.14218,图自越通社,Photo from Vietnam News Agency
1228,"The ""object"" that was shot down over Alaska was what?",refA,-1.0,81.0,0.0,news,voa-voachinese.30674,阿拉斯加上空被击落的 “物体”究竟是什么？,"The ""object"" that was shot down over Alaska was what?"
1229,"confused, speculative",refA,-2.0,82.5,-25.0,news,voa-voachinese.30674,扑朔迷离，猜测纷纷,"confused, speculative"
1230,On Friday afternoon (February 10) the US military once more brought down an unidentified flying object over Alaska using the F-22 its most sophisticated stealth fighter plane.,refA,-0.0,84.0,0.0,news,voa-voachinese.30674,美国军方周五（2月10日）下午再次动用美国最先进的隐身喷气战机F-22击落了一个在美国阿拉斯加上空飞行的尚未确定身份的物体。,On Friday afternoon (February 10) the US military once more brought down an unidentified flying object over Alaska using the F-22 its most sophisticated stealth fighter plane.
1231,"Ten miles off Alaska's coast, it was shot down.",refA,-0.0,83.5,0.0,news,voa-voachinese.30674,击落的地点距离阿拉斯加海岸十英里。,"Ten miles off Alaska's coast, it was shot down."
1232,The American military has shot down an aerial object twice in less than a week.,refA,-0.0,84.0,0.0,news,voa-voachinese.30674,这是美军在不到一周的时间里第二次击落空中飞行物体。,The American military has shot down an aerial object twice in less than a week.
1233,"Last Saturday, a Chinese surveillance balloon that had been circling the US airspace for days was shot down close to the South Carolina coast.",refA,-5.0,85.5,-5.0,news,voa-voachinese.30674,上周六，来自中国的一个间谍气球在美国领空上漂移数日后在美国南卡罗莱纳州沿岸附近上空被击毁。,"Last Saturday, a Chinese surveillance balloon that had been circling the US airspace for days was shot down close to the South Carolina coast."
1234,"The second downed item first entered U.S airspace on Thursday night, was followed by American military personnel as it flew across northeast Alaska, at a height of 12,000 meters (40,000 feet), according to the Pentagon, the Chinese surveillance balloon that was earlier shot down is considerably smaller than the automobile, which is around the same size.",refA,-6.0,83.5,-7.0,news,voa-voachinese.30674,五角大楼说，第二个被击落的物体于周四晚上首次进入美国领空，在阿拉斯加东北部上空移动时被美国军方跟踪，飞行高度为1.2万米（4万英尺），其大小与一辆小型汽车差不多，与先前被击落的那个中国间谍气球相比要小很多。,"The second downed item first entered U.S airspace on Thursday night, was followed by American military personnel as it flew across northeast Alaska, at a height of 12,000 meters (40,000 feet), according to the Pentagon, the Chinese surveillance balloon that was earlier shot down is considerably smaller than the automobile, which is around the same size."
1235,"Additionally, according to the Pentagon, there is currently no proof that the item is manipulatable.",refA,-1.0,88.5,-5.0,news,voa-voachinese.30674,五角大楼还认为，目前没有迹象显示，这个物体是可操纵的。,"Additionally, according to the Pentagon, there is currently no proof that the item is manipulatable."
1236,"Although the high-flying object's precise appearance remained unknown, according to White House National Security Council strategic communications coordinator John Kirby, it ""posed a legitimate threat to the safety of civilian aircraft.""",refA,-2.1,83.0,0.0,news,voa-voachinese.30674,白宫国家安全委员会战略沟通协调员约翰·科比周五表示，虽然这个在高空飞行的物体的具体样子尚不清楚，但它“对民航飞机的安全构成了合理的威胁”。,"Although the high-flying object's precise appearance remained unknown, according to White House National Security Council strategic communications coordinator John Kirby, it ""posed a legitimate threat to the safety of civilian aircraft."""
1237,"In contrast to the spy balloon discovered in the United States, the object, according to Bryant, did not have a ""payload"" suspended from it.",refA,-5.0,76.0,-6.0,news,voa-voachinese.30674,科比表示，这个物体与美国境内发现的那个间谍气球不同，它上面没有悬挂“有效载荷”。,"In contrast to the spy balloon discovered in the United States, the object, according to Bryant, did not have a ""payload"" suspended from it."
1250,I find Amazon's customer service attitude to be unbelievable,refA,-0.0,88.5,0.0,user_review,apparel-1-zh_0466146-137,亚马逊的客服态度让我难以相信,I find Amazon's customer service attitude to be unbelievable
1251,"Although it is believed that few people would view this, I still want to add a little.",refA,-2.0,83.0,-6.0,user_review,apparel-1-zh_0466146-137,估计很少有人看到这里，但是我也要稍微说一下。,"Although it is believed that few people would view this, I still want to add a little."
1252,"When we purchased this dress, it had a zipper hood, but I ended up wearing a short-sleeved version.",refA,-6.0,79.5,-6.0,user_review,apparel-1-zh_0466146-137,这件衣服当时我们购买的时候是一件拉链帽衫，最后送给我确是一件短袖。,"When we purchased this dress, it had a zipper hood, but I ended up wearing a short-sleeved version."
1253,"I immediately contacted Amazon customer support after getting the garments, it was determined at that time that there was still inventory of the clothing, I made a replacement request, after telling the customer care to fix it, they instantly saw that the product's name had been altered to short sleeves, it turned out that the link I purchased from had been withdrawn from the inventory.",refA,-4.0,70.5,-6.0,user_review,apparel-1-zh_0466146-137,收到衣服后立即与亚马逊客服取得了联系，当时确认衣服还是有库存的，我要求换货，客服说去解决一下，然后立即看到商品名称变成了短袖，原来我买的链接下架。,"I immediately contacted Amazon customer support after getting the garments, it was determined at that time that there was still inventory of the clothing, I made a replacement request, after telling the customer care to fix it, they instantly saw that the product's name had been altered to short sleeves, it turned out that the link I purchased from had been withdrawn from the inventory."
1254,"The customer service then informed the consumer to either keep the items and get a specified amount of compensation, or return the things.",refA,-2.0,78.5,0.0,user_review,apparel-1-zh_0466146-137,接着客服通知要么保留货品补偿一定金额，要么退货。,"The customer service then informed the consumer to either keep the items and get a specified amount of compensation, or return the things."
1255,Does Amazon handle it in this manner?,refA,-0.0,80.5,0.0,user_review,apparel-1-zh_0466146-137,这就是亚马逊的处理方式？,Does Amazon handle it in this manner?
1256,"That wearing the wrong clothes is not a concern for me is very unbelievable, I make reasonable requests as a consumer and don't make any inflated demands,  Amazon claims it's out of stock and alters the name.",refA,-6.0,67.5,-6.0,user_review,apparel-1-zh_0466146-137,真的很难以置信，本身衣物发错并不是我的问题，作为一个消费者我要求获得我应获得的商品，并没有提出什么很夸张的要求，亚马逊却改名字，说无库存。,"That wearing the wrong clothes is not a concern for me is very unbelievable, I make reasonable requests as a consumer and don't make any inflated demands,  Amazon claims it's out of stock and alters the name."
1257,"My first lengthy review, which I hope won't be my last.",refA,-0.0,89.5,0.0,user_review,apparel-1-zh_0466146-137,这是我的第一个长评，希望这不是我的最后一个。,"My first lengthy review, which I hope won't be my last."
1258,The mysterious sleeve,refA,-1.0,33.0,0.0,user_review,apparel-2-zh_0223004-84,让人无法理解的袖子,The mysterious sleeve
1259,"Although it is stated to be made of cowhide and is in fact fairly hard, if you look closely, you will notice that there are numerous tiny fractures in the surrounding area, making it unclear whether the leather is real, additionally, the sleeves on this garment are completely puzzling, the sleeves of coats are typically 1-2 centimeters longer than the hem of the clothing; however, the sleeves of this dress are a full 5 centimeters long, as a result, the arms should naturally hang down in the palm of the hand, but the sleeves of this dress cover the fingers.",refA,-11.0,33.0,-7.0,user_review,apparel-2-zh_0223004-84,说是牛皮的，也确实比较硬，但仔细看的话，局部有很多细小的裂痕，搞不清楚是否是真皮的，另外这个衣服的袖子真是让人无法理解，通常夹克的袖子要比衣摆长一些，不过通常也就1-2厘米，这件衣服足足长了5厘米，手臂自然下垂应该在手掌虎口的位置，但这件衣服的袖子都盖过手指了。,"Although it is stated to be made of cowhide and is in fact fairly hard, if you look closely, you will notice that there are numerous tiny fractures in the surrounding area, making it unclear whether the leather is real, additionally, the sleeves on this garment are completely puzzling, the sleeves of coats are typically 1-2 centimeters longer than the hem of the clothing; however, the sleeves of this dress are a full 5 centimeters long, as a result, the arms should naturally hang down in the palm of the hand, but the sleeves of this dress cover the fingers."
1265,Better suited to young individuals,refA,-0.0,82.0,0.0,user_review,apparel-4-zh_0430147-90,更适合年轻人,Better suited to young individuals
1266,the entire 99 seconds.,refA,-5.0,51.0,-25.0,user_review,apparel-4-zh_0430147-90,99秒杀的。,the entire 99 seconds.
1267,"The wool pants have good construction, a nice color, a decent amount of softness/thinness, and no kerosene odor.",refA,-6.0,82.0,-6.0,user_review,apparel-4-zh_0430147-90,毛裤的做工、颜色、手感都不错，柔软/薄厚适中，没有煤油味儿。,"The wool pants have good construction, a nice color, a decent amount of softness/thinness, and no kerosene odor."
1268,"Sadly, the version is lacking in substance and would be better suited for young individuals.",refA,-1.0,81.0,-6.0,user_review,apparel-4-zh_0430147-90,遗憾的是版型属于瘦型的，更适合年轻人。,"Sadly, the version is lacking in substance and would be better suited for young individuals."
1269,"The waist is a little snug in a 3XL, the flat measurement is 2 feet 5, the maximum stretch is 4 feet, and the weight is 1.79/80 kg.",refA,-1.0,85.0,-16.0,user_review,apparel-4-zh_0430147-90,3XL，平铺腰围2尺5，拉伸最大尺寸4尺，1.79/80公斤穿着腰有点紧。,"The waist is a little snug in a 3XL, the flat measurement is 2 feet 5, the maximum stretch is 4 feet, and the weight is 1.79/80 kg."
1270,"There doesn't appear to be an elastic band around the waist, and it is really challenging to make the waistline looser.",refA,-0.0,84.0,0.0,user_review,apparel-4-zh_0430147-90,似乎腰间没有松紧带，想加松点腰围还挺困难。,"There doesn't appear to be an elastic band around the waist, and it is really challenging to make the waistline looser."
1271,"In addition, wearing it so close to your body is uncomfortable.",refA,-1.0,78.0,0.0,user_review,apparel-4-zh_0430147-90,另外，贴身穿是不舒服的。,"In addition, wearing it so close to your body is uncomfortable."
1272,Exceptionally good The color is not particularly vibrant,refA,-1.0,75.0,-6.0,user_review,apparel-5-zh_0635522-81,很好 颜色不是很鲜艳,Exceptionally good The color is not particularly vibrant
1273,"What is happening, I just got it and it increased by more than two hundred.",refA,-1.0,76.0,-6.0,user_review,apparel-5-zh_0635522-81,刚买就涨了两百多，这是什么情况。,"What is happening, I just got it and it increased by more than two hundred."
1274,"Amazon had never before used the friendly Tiantianbai Express, the initial delivery wasn't to a residence, I later decided to take the initiative and schedule two delivery times with the courier, The package was returned to me immediately after the courier declined to deliver it, It is strongly advised not to utilize the courier any longer because they have no integrity at all.",refA,-9.0,46.0,-12.0,user_review,apparel-5-zh_0635522-81,第一次亚马逊用的合作的天天烂快递，第一次送货没在家，后来主动和快递员约了两次送货时间，那个快递员都不送，后来直接给我退货了，这个该死的快递员一点诚信也没有，强烈建议不要再用那个天天烂快递了。,"Amazon had never before used the friendly Tiantianbai Express, the initial delivery wasn't to a residence, I later decided to take the initiative and schedule two delivery times with the courier, The package was returned to me immediately after the courier declined to deliver it, It is strongly advised not to utilize the courier any longer because they have no integrity at all."
1275,"This time, I also exchanged a shirt, and when I re-auctioned it, the price went up by more than 100 yuan.",refA,-10.0,78.0,0.0,user_review,apparel-5-zh_0635522-81,这一次还有一件体恤衫也给我退货了，再拍也涨价了一百多元。,"This time, I also exchanged a shirt, and when I re-auctioned it, the price went up by more than 100 yuan."
1283,"There are two E2s, and I've just been using this product for a little over a year, I'm not sure how to handle it?",refA,-6.0,84.0,-6.0,user_review,automotive-2-zh_0492192-83,我使用该产品不到一年，就出现两个E2，我不知道如何处理?,"There are two E2s, and I've just been using this product for a little over a year, I'm not sure how to handle it?"
1284,"I purchased this item on July 30, 2015, but in March 2016, red E2 started to show on the two groups on the receiver's right side, the transmitter module ought to be the source of the issue, this is consistent with the transmitter module's ongoing operation, as was noted on the Amazon website, I don't know what to do now because 7 years doesn't quite match and I can't find after-sales support on the Amazon website?",refA,-11.0,83.0,-7.0,user_review,automotive-2-zh_0492192-83,我是2015年7月30日购买该商品的，但在2016年3月份接收器右边两组就经常出现红色E2，应是发射模块出现问题吧，这与亚马逊网站上讲的发射模块可持续工作7年不大相符吧，在亚马逊网站上又找不到售后，现不知如何是好?,"I purchased this item on July 30, 2015, but in March 2016, red E2 started to show on the two groups on the receiver's right side, the transmitter module ought to be the source of the issue, this is consistent with the transmitter module's ongoing operation, as was noted on the Amazon website, I don't know what to do now because 7 years doesn't quite match and I can't find after-sales support on the Amazon website?"
1285,Not bad at all,refA,-5.1,84.5,0.0,user_review,automotive-3-zh_0544945-98,还行吧,Not bad at all
1286,The initial buy wasn't good.,refA,-2.0,73.5,0.0,user_review,automotive-3-zh_0544945-98,第一次购买是坏的。,The initial buy wasn't good.
1287,It doesn't seem brand-new.,refA,-2.0,84.5,-1.0,user_review,automotive-3-zh_0544945-98,感觉不像新的。,It doesn't seem brand-new.
1288,Both the label on the fuselage and the label on the box were torn.,refA,-6.0,81.0,-5.0,user_review,automotive-3-zh_0544945-98,盒子上的标签被撕了，机身上标签也破了。,Both the label on the fuselage and the label on the box were torn.
1289,And the screen is always white.,refA,-1.0,82.0,0.0,user_review,automotive-3-zh_0544945-98,而且老是白屏。,And the screen is always white.
1290,"Once changed, everything will be fine.",refA,-6.0,84.0,-5.0,user_review,automotive-3-zh_0544945-98,换了以后好了。,"Once changed, everything will be fine."
1291,"Although the viewing angle is not very wide, the replacement is extremely quick, and it is a little hazy at night; it is sufficient for everyday home use.",refA,-1.0,79.5,0.0,user_review,automotive-3-zh_0544945-98,换货挺迅速，晚上有点模糊，视角不是很广，但是普通家用够了。,"Although the viewing angle is not very wide, the replacement is extremely quick, and it is a little hazy at night; it is sufficient for everyday home use."
1292,The drawback is that there is no card; I paid for it out of pocket and previously purchased a phone from Amazon.,refA,-2.0,82.0,-6.0,user_review,automotive-3-zh_0544945-98,不足就是没有卡，自己买的，还有就是以前在亚马逊买过手机。,The drawback is that there is no card; I paid for it out of pocket and previously purchased a phone from Amazon.
1293,"To prevent the package from being opened, there will be a sticker on it, No not now, there is a sticker that resembles a chapter that may be placed to the warranty card when purchasing a mobile phone, No not now.",refA,-9.0,75.0,-7.0,user_review,automotive-3-zh_0544945-98,包装上会有贴纸，防止包装被打开，这次没有，买手机时候还有个贴纸一样的章，可以贴在保修卡上，这次没有。,"To prevent the package from being opened, there will be a sticker on it, No not now, there is a sticker that resembles a chapter that may be placed to the warranty card when purchasing a mobile phone, No not now."
1294,"I'm perplexed, I'm not sure if it's because products are so inexpensive.",refA,-2.0,81.0,-5.0,user_review,automotive-3-zh_0544945-98,不知道是不是东西便宜了就没有，很困惑。,"I'm perplexed, I'm not sure if it's because products are so inexpensive."
1295,Awaiting response from the supplier,refA,-1.0,92.0,0.0,user_review,automotive-4-zh_0900322-78,等待供货商回复,Awaiting response from the supplier
1296,"Since there is no mark on the package, I called the supplier directly to ask about the matter and was told that the good is authentic despite the lack of a mark, If there is any dispute, I may submit it to Johnson & Johnson for review and include the phone number and license plate information, I swear to tell Johnson & Johnson of my information by text message, Why has a text message not yet been sent to the warranty card on the official website?",refA,-14.0,84.0,-21.0,user_review,automotive-4-zh_0900322-78,包装没有任何标识，直接给供货商致电说，回答没标识是正品，如怀疑可用边角料邮寄到强生公司验货，还留下车牌号以及电话号码，承诺会发短信通知把我的信息输入强生官网保修卡，到现在也没收到短信啊？,"Since there is no mark on the package, I called the supplier directly to ask about the matter and was told that the good is authentic despite the lack of a mark, If there is any dispute, I may submit it to Johnson & Johnson for review and include the phone number and license plate information, I swear to tell Johnson & Johnson of my information by text message, Why has a text message not yet been sent to the warranty card on the official website?"
1321,This acquisition falls short of expectations,refA,-0.0,51.0,0.0,user_review,baby_product-2-zh_0821862-117,这次购买不是很满意,This acquisition falls short of expectations
