id,source,reference,target,error_span,category,severity,source_lang,target_lang
373,(顺便提一句买键盘贴膜一定不要去某宝一家叫E酷数码中心的店买，发货慢质量差，产品有问题不退不换，老板还满嘴脏话，特别曝光一下),"(By the way, you should not buy keyboard film from a store called E Cool Digital Center in a certain treasure, Delivery is sluggish, and the quality is subpar, the product will not be returned or exchanged if there is an issue with it, the boss is full of curses, allow me to disclose it)‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","(By the way, do not buy a keyboard <v>patch</v> must not go to a treasure called E cool digital center of the store to buy, delivery slow quality, the product has a problem not to return, the boss is full of dirty words, special exposure)",patch,Accuracy/Mistranslation,Major,Chinese,English
374,(顺便提一句买键盘贴膜一定不要去某宝一家叫E酷数码中心的店买，发货慢质量差，产品有问题不退不换，老板还满嘴脏话，特别曝光一下),"(By the way, you should not buy keyboard film from a store called E Cool Digital Center in a certain treasure, Delivery is sluggish, and the quality is subpar, the product will not be returned or exchanged if there is an issue with it, the boss is full of curses, allow me to disclose it)‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","(By the way, do not buy a keyboard patch must not go to a <v>treasure</v> called E cool digital center of the store to buy, delivery slow quality, the product has a problem not to return, the boss is full of dirty words, special exposure)",treasure,Accuracy/Mistranslation,Major,Chinese,English
375,送来成这个样子，不仅包装压扁，电器包装也是开的，也不知道有没有调包。,"When it was delivered in this manner, not only was the packaging flattened, but the packaging of electrical appliances was also opened, I'm not sure if there has been a package update.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Not only is the packaging squashed, but <v>the electrical packaging</v> is also open, and it is not known whether there is a transfer.",the electrical packaging,Accuracy/Mistranslation,Major,Chinese,English
376,送来成这个样子，不仅包装压扁，电器包装也是开的，也不知道有没有调包。,"When it was delivered in this manner, not only was the packaging flattened, but the packaging of electrical appliances was also opened, I'm not sure if there has been a package update.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Not only is the packaging squashed, but the electrical packaging is also open, and it is not known whether there is a <v>transfer</v>.",transfer,Accuracy/Mistranslation,Major,Chinese,English
377,用了半年没有啥问题，每天刷，差不多1个多星期一冲。,"It has been used for six months now without any issues, I've been brushing and flushing it every day for more than 1 week.","It takes about six months to <v>complete</v>, and it takes less than a month to complete.",complete,Accuracy/Mistranslation,Major,Chinese,English
378,用了半年没有啥问题，每天刷，差不多1个多星期一冲。,"It has been used for six months now without any issues, I've been brushing and flushing it every day for more than 1 week.","It takes about six months to complete, and it takes less than a month to <v>complete</v>.",complete,Accuracy/Mistranslation,Major,Chinese,English
379,上次买了两包，居然是两种不同的版本，本来包装上左下角的字是绿色的，结果有一包就不是，是白色的字，结果猫猫吃了就拉肚子了。,"When I most recently purchased two packs, there were actually two distinct models, initially, the lettering on the pack's lower left corner were green, but it turned out that one pack didn't have green words and had white ones instead, after consuming it, the cat experienced diarrhea as a result.","In the first two <v>versions of the game</v>, it is revealed that there are two different versions of the game, one of which is a white cat and the other is a green cat.",versions of the game,Accuracy/Mistranslation,Major,Chinese,English
380,上次买了两包，居然是两种不同的版本，本来包装上左下角的字是绿色的，结果有一包就不是，是白色的字，结果猫猫吃了就拉肚子了。,"When I most recently purchased two packs, there were actually two distinct models, initially, the lettering on the pack's lower left corner were green, but it turned out that one pack didn't have green words and had white ones instead, after consuming it, the cat experienced diarrhea as a result.","In the first two versions of the game, it is revealed that there are two different versions of <v>the game</v>, one of which is a white cat and the other is a green cat.",the game,Accuracy/Mistranslation,Major,Chinese,English
381,上次买了两包，居然是两种不同的版本，本来包装上左下角的字是绿色的，结果有一包就不是，是白色的字，结果猫猫吃了就拉肚子了。,"When I most recently purchased two packs, there were actually two distinct models, initially, the lettering on the pack's lower left corner were green, but it turned out that one pack didn't have green words and had white ones instead, after consuming it, the cat experienced diarrhea as a result.","In the first two versions of the game, it is revealed that there are two different versions of the game, <v>one of which is a white cat and the other is a green cat</v>.",one of which is a white cat and the other is a green cat,Accuracy/Mistranslation,Major,Chinese,English
382,亚马逊图片上是斜杠的，结果给我发来是横杠的，这不是骗人吗?,"Although the Amazon image has cuts, the effect is a horizontal cut, isn't it a lie?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",Isn <v>& apos; </v>t it deceptive that Amazon & apos; s picture is slashed and the result is sent to me as a horizontal bar?,& apos; ,Accuracy/Mistranslation,Major,Chinese,English
383,亚马逊图片上是斜杠的，结果给我发来是横杠的，这不是骗人吗?,"Although the Amazon image has cuts, the effect is a horizontal cut, isn't it a lie?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",Isn & apos; t it deceptive that Amazon <v>& apos; </v>s picture is slashed and the result is sent to me as a horizontal bar?,& apos; ,Accuracy/Mistranslation,Major,Chinese,English
384,亚马逊图片上是斜杠的，结果给我发来是横杠的，这不是骗人吗?,"Although the Amazon image has cuts, the effect is a horizontal cut, isn't it a lie?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",Isn & apos; t it deceptive that Amazon & apos; s picture is <v>slashed</v> and the result is sent to me as a horizontal bar?,slashed,Accuracy/Mistranslation,Major,Chinese,English
385,亚马逊图片上是斜杠的，结果给我发来是横杠的，这不是骗人吗?,"Although the Amazon image has cuts, the effect is a horizontal cut, isn't it a lie?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",Isn & apos; t it deceptive that Amazon & apos; s picture is slashed and <v>the result is sent to me</v> as a horizontal bar?,the result is sent to me,Accuracy/Mistranslation,Major,Chinese,English
386,1.UN是clarks最舒服的系列，可惜这款太差了。,"1. Clarks' UN series is the most comfy, but this particular model is awful.","1. The <v>United Nations</v> is the most comfortable series of clarks, but unfortunately it is too bad.",United Nations,Accuracy/Mistranslation,Major,Chinese,English
387,1.UN是clarks最舒服的系列，可惜这款太差了。,"1. Clarks' UN series is the most comfy, but this particular model is awful.","1. The United Nations is the most comfortable series of clarks, but unfortunately <v>it</v> is too bad.",it,Accuracy/Mistranslation,Major,Chinese,English
388,追加：今天对比了以前的UN系列鞋垫（鞋扔了垫留着用），材质比以前差了不少，弹性不如以前，透气也不如以前，就是假假的软。,"Addition: Today I compared the previous UN series insoles (throw away the shoes and save the insoles), and I found that the material is significantly worse than before, the elasticity is lower, and the breathability is lower, it is also counterfeit and soft.","<v>For example</v>, in the case of the previous series of shoes (the shoes were thrown with cushioning), the material is much worse than before, the elasticity is less than before, and the ventilation is less than before, which is false soft.",For example,Accuracy/Mistranslation,Major,Chinese,English
389,追加：今天对比了以前的UN系列鞋垫（鞋扔了垫留着用），材质比以前差了不少，弹性不如以前，透气也不如以前，就是假假的软。,"Addition: Today I compared the previous UN series insoles (throw away the shoes and save the insoles), and I found that the material is significantly worse than before, the elasticity is lower, and the breathability is lower, it is also counterfeit and soft.","For example, in the case of the previous series of shoes (<v>the shoes were thrown with cushioning</v>), the material is much worse than before, the elasticity is less than before, and the ventilation is less than before, which is false soft.",the shoes were thrown with cushioning,Accuracy/Mistranslation,Major,Chinese,English
390,2.我的脚背不算高，硌的部位在脚背最高处向前3公分左右。,"2. My instep is not very high, and the cruciate section is located around 3 cm in front of the instep's highest point.","2. The back of my foot is not <v>counted as</v> high, and the part of my foot is about 3 cm forward at the top of the back.",counted as,Accuracy/Mistranslation,Major,Chinese,English
391,2.我的脚背不算高，硌的部位在脚背最高处向前3公分左右。,"2. My instep is not very high, and the cruciate section is located around 3 cm in front of the instep's highest point.","2. The back of my foot is not counted as high, and <v>the part of my foot</v> is about 3 cm forward at the top of the back.",the part of my foot,Accuracy/Mistranslation,Major,Chinese,English
392,2.我的脚背不算高，硌的部位在脚背最高处向前3公分左右。,"2. My instep is not very high, and the cruciate section is located around 3 cm in front of the instep's highest point.","2. The back of my foot is not counted as high, and the part of my foot is about 3 cm forward at <v>the top of the back</v>.",the top of the back,Accuracy/Mistranslation,Major,Chinese,English
393,做活动280块买到的，这个价格买到亚瑟士相当划算，当然看评论还有更低的价格。,"I paid 280 yuan for it for an event, purchasing ASICS at this pricing is a steal, of course, lower pricing can be found in the comments.","For the price of $280, it was a good deal <v>for Arthur</v>, but the reviews also offered a lower price.",for Arthur,Accuracy/Mistranslation,Major,Chinese,English
394,做活动280块买到的，这个价格买到亚瑟士相当划算，当然看评论还有更低的价格。,"I paid 280 yuan for it for an event, purchasing ASICS at this pricing is a steal, of course, lower pricing can be found in the comments.","For the price of $280, it was a good deal for Arthur, but the reviews also <v>offered</v> a lower price.",offered,Accuracy/Mistranslation,Major,Chinese,English
395,颜值很高但缺点也很明显：我一般穿40的鞋，这次买的40.5的，穿进去鞋子前端大概还有1个大拇指的距离，但是，这并不影响什么。,"The aesthetic is excellent, but there are some evident drawbacks: I typically wear 40 shoes, but I bought 40.5 shoes this time, and there is roughly 1 thumb's gap from the front of the shoes, but this makes no difference.","The <v>face value</v> is high but the drawbacks are obvious: I usually wear 40 shoes, this time 40.5, about 1 thumb away from the front of the shoe, but this does not affect anything.",face value,Accuracy/Mistranslation,Major,Chinese,English
396,颜值很高但缺点也很明显：我一般穿40的鞋，这次买的40.5的，穿进去鞋子前端大概还有1个大拇指的距离，但是，这并不影响什么。,"The aesthetic is excellent, but there are some evident drawbacks: I typically wear 40 shoes, but I bought 40.5 shoes this time, and there is roughly 1 thumb's gap from the front of the shoes, but this makes no difference.","The face value is high but the drawbacks are obvious: I usually wear <v>40 shoes</v>, this time 40.5, about 1 thumb away from the front of the shoe, but this does not affect anything.",40 shoes,Accuracy/Mistranslation,Major,Chinese,English
397,如果一定要买，换个鞋垫也能解决，但是原配鞋垫看起来很高级的样子，不用又可惜。,"You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","If you have to buy it, you can change the <v>shoes</v>, but the original shoes look good, but it is not a pity.",shoes,Accuracy/Mistranslation,Major,Chinese,English
398,如果一定要买，换个鞋垫也能解决，但是原配鞋垫看起来很高级的样子，不用又可惜。,"You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","If you have to buy it, you can change the shoes, but the original <v>shoes</v> look good, but it is not a pity.",shoes,Accuracy/Mistranslation,Major,Chinese,English
399,如果一定要买，换个鞋垫也能解决，但是原配鞋垫看起来很高级的样子，不用又可惜。,"You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","If you have to buy it, you can change the shoes, but the original shoes look good, <v>but it is not a pity</v>.",but it is not a pity,Accuracy/Mistranslation,Major,Chinese,English
400,春天要用的时候发现和手环怎么也连不上，两个设备说明书都表示支持对方，后来发现应该是心率带的问题，因为找来其它的设备还是连不上。,"I discovered that I couldn't connect to the bracelet when I attempted to use it in the spring, the user manuals for both devices endorsed one another, later I discovered that since I was still having trouble connecting to other devices, the issue should have been with the heart rate band.","When it was found that the <v>bracelet</v> could not be connected to the spring use, both device manuals supported each other, and it was later found that it was a heart rate band problem because other devices could not be connected.",bracelet,Accuracy/Mistranslation,Major,Chinese,English
401,春天要用的时候发现和手环怎么也连不上，两个设备说明书都表示支持对方，后来发现应该是心率带的问题，因为找来其它的设备还是连不上。,"I discovered that I couldn't connect to the bracelet when I attempted to use it in the spring, the user manuals for both devices endorsed one another, later I discovered that since I was still having trouble connecting to other devices, the issue should have been with the heart rate band.","When it was found that the bracelet could not be connected to the <v>spring use</v>, both device manuals supported each other, and it was later found that it was a heart rate band problem because other devices could not be connected.",spring use,Accuracy/Mistranslation,Major,Chinese,English
402,春天要用的时候发现和手环怎么也连不上，两个设备说明书都表示支持对方，后来发现应该是心率带的问题，因为找来其它的设备还是连不上。,"I discovered that I couldn't connect to the bracelet when I attempted to use it in the spring, the user manuals for both devices endorsed one another, later I discovered that since I was still having trouble connecting to other devices, the issue should have been with the heart rate band.","When it was found that the bracelet could not be connected to the spring use, <v>both device manuals supported each other</v>, and it was later found that it was a heart rate band problem because other devices could not be connected.",both device manuals supported each other,Accuracy/Mistranslation,Major,Chinese,English
403,尺码：我身高176CM，68KG，我肩膀宽一般衣服都是180的，买的M，下摆略微长，其它穿了正好，我看有推荐S码的，身材那么纤细吗？还是喜欢紧身？我觉得帽衫还是宽松些好。,"I am 68KG and 176CM tall, 180 is normally how wide my shoulders are, the hem on the M that I purchased is a little longer, others fit perfectly, I see that the S size is advised, Are you really so thin? Or would you rather a snug fit? A loose hoodie, in my opinion, is preferable.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Size: I am 176CM tall, 68KG, my shoulders are wide Clothes are all 180, I bought M, the bottom is slightly long, <v>others wear exactly</v>, I see the recommended S size, do you like slender, or do you like tight?",others wear exactly,Accuracy/Mistranslation,Major,Chinese,English
404,尺码：我身高176CM，68KG，我肩膀宽一般衣服都是180的，买的M，下摆略微长，其它穿了正好，我看有推荐S码的，身材那么纤细吗？还是喜欢紧身？我觉得帽衫还是宽松些好。,"I am 68KG and 176CM tall, 180 is normally how wide my shoulders are, the hem on the M that I purchased is a little longer, others fit perfectly, I see that the S size is advised, Are you really so thin? Or would you rather a snug fit? A loose hoodie, in my opinion, is preferable.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Size: I am 176CM tall, 68KG, my shoulders are wide Clothes are all 180, I bought M, the bottom is slightly long, others wear exactly, I see <v>the recommended S size</v>, do you like slender, or do you like tight?",the recommended S size,Accuracy/Mistranslation,Major,Chinese,English
405,尺码：我身高176CM，68KG，我肩膀宽一般衣服都是180的，买的M，下摆略微长，其它穿了正好，我看有推荐S码的，身材那么纤细吗？还是喜欢紧身？我觉得帽衫还是宽松些好。,"I am 68KG and 176CM tall, 180 is normally how wide my shoulders are, the hem on the M that I purchased is a little longer, others fit perfectly, I see that the S size is advised, Are you really so thin? Or would you rather a snug fit? A loose hoodie, in my opinion, is preferable.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Size: I am 176CM tall, 68KG, my shoulders are wide Clothes are all 180, I bought M, the bottom is slightly long, others wear exactly, I see the recommended S size, <v>do you like slender, or do you like tight?</v>","do you like slender, or do you like tight?",Accuracy/Mistranslation,Major,Chinese,English
406,看来以后不能买Z实惠的商品了！,Looks like I won't be purchasing Z's reasonably priced stuff in the future!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,It seems that <v>you</v> can't buy cheap goods in the future!,you,Accuracy/Mistranslation,Major,Chinese,English
407,看来以后不能买Z实惠的商品了！,Looks like I won't be purchasing Z's reasonably priced stuff in the future!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,It seems that you <v>can't</v> buy cheap goods in the future!,can't,Accuracy/Mistranslation,Major,Chinese,English
408,看来以后不能买Z实惠的商品了！,Looks like I won't be purchasing Z's reasonably priced stuff in the future!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,It seems that you can't buy <v>cheap goods</v> in the future!,cheap goods,Accuracy/Mistranslation,Major,Chinese,English
409,圣诞节有看了下，之前买的贵了150块钱，不过现发货比较慢一点。,"For Christmas, I took a look at it, the one I previously purchased cost 150 yuan more, but the shipping is now a little slower.","<v>At the end of the season</v>, the team had to pay $150 per game, which was much more expensive than the previous season.",At the end of the season,Accuracy/Mistranslation,Major,Chinese,English
410,圣诞节有看了下，之前买的贵了150块钱，不过现发货比较慢一点。,"For Christmas, I took a look at it, the one I previously purchased cost 150 yuan more, but the shipping is now a little slower.","At the end of the season, the team <v>had to pay $150 per game, which was much more expensive</v> than the previous season.","had to pay $150 per game, which was much more expensive",Accuracy/Mistranslation,Major,Chinese,English
411,圣诞节有看了下，之前买的贵了150块钱，不过现发货比较慢一点。,"For Christmas, I took a look at it, the one I previously purchased cost 150 yuan more, but the shipping is now a little slower.","At the end of the season, the team had to pay $150 per game, which was much more expensive than <v>the previous season</v>.",the previous season,Accuracy/Mistranslation,Major,Chinese,English
412,生产烂货，出售烂货，结果烂货服务，买了六块手表送孩子的，其中的一快数字显示不完全，六块的时间都不一致，相差十几个小时不等。,"This was the outcome of the production of defective goods, sale of defective goods, and service of defective goods, six timepieces were purchased to be given to the children, but one of them showed partial numerals, and the time on all six watches varied by more than ten hours.","Production of rotten goods, sale of rotten goods, <v>resulting in</v> rotten goods service, purchase of six watches to send the child, one of the quick numbers is incomplete, the time of the six pieces is inconsistent, ranging from ten to ten hours.",resulting in,Accuracy/Mistranslation,Major,Chinese,English
413,生产烂货，出售烂货，结果烂货服务，买了六块手表送孩子的，其中的一快数字显示不完全，六块的时间都不一致，相差十几个小时不等。,"This was the outcome of the production of defective goods, sale of defective goods, and service of defective goods, six timepieces were purchased to be given to the children, but one of them showed partial numerals, and the time on all six watches varied by more than ten hours.","Production of rotten goods, sale of rotten goods, resulting in rotten goods service, <v>purchase of</v> six watches to send the child, one of the quick numbers is incomplete, the time of the six pieces is inconsistent, ranging from ten to ten hours.",purchase of,Accuracy/Mistranslation,Major,Chinese,English
414,生产烂货，出售烂货，结果烂货服务，买了六块手表送孩子的，其中的一快数字显示不完全，六块的时间都不一致，相差十几个小时不等。,"This was the outcome of the production of defective goods, sale of defective goods, and service of defective goods, six timepieces were purchased to be given to the children, but one of them showed partial numerals, and the time on all six watches varied by more than ten hours.","Production of rotten goods, sale of rotten goods, resulting in rotten goods service, purchase of six watches to send the child, <v>one of the quick numbers</v> is incomplete, the time of the six pieces is inconsistent, ranging from ten to ten hours.",one of the quick numbers,Accuracy/Mistranslation,Major,Chinese,English
415,生产烂货，出售烂货，结果烂货服务，买了六块手表送孩子的，其中的一快数字显示不完全，六块的时间都不一致，相差十几个小时不等。,"This was the outcome of the production of defective goods, sale of defective goods, and service of defective goods, six timepieces were purchased to be given to the children, but one of them showed partial numerals, and the time on all six watches varied by more than ten hours.","Production of rotten goods, sale of rotten goods, resulting in rotten goods service, purchase of six watches to send the child, one of the quick numbers is incomplete, the time of the six pieces is inconsistent, <v>ranging</v> from ten to ten hours.",ranging,Accuracy/Mistranslation,Major,Chinese,English
416,我联系厂家问手表在入库有核对时间吗?他们回复说“有”，既然有，那为啥时间相差那么多，那肯定是手表没有精确度，简单地说就是水货产品，不是我说的难听，看嘛，很明显的质量问题（数字显示不完全）都拿出来卖，是不是垃圾货。,"I contacted the manufacturer and asked if there was a time check on the watch in the warehouse, they replied ""yes"", since there is, so then why is the time difference so much? That must be because the watch is not accurate, simply put, it is a water product, not what I said, look well, as there are very obvious quality problems (digital display is not complete) and are taken out to sell, are not junk goods.","They replied, ""Yes, since there is, then why the time difference is <v>so much</v>, it must be a watch without accuracy, simply put, it is a parallel product, it is not what I said it is hard to hear, it looks, it is obvious quality problems (digital display is not complete) are brought out for sale, is not garbage.",so much,Accuracy/Mistranslation,Major,Chinese,English
417,我联系厂家问手表在入库有核对时间吗?他们回复说“有”，既然有，那为啥时间相差那么多，那肯定是手表没有精确度，简单地说就是水货产品，不是我说的难听，看嘛，很明显的质量问题（数字显示不完全）都拿出来卖，是不是垃圾货。,"I contacted the manufacturer and asked if there was a time check on the watch in the warehouse, they replied ""yes"", since there is, so then why is the time difference so much? That must be because the watch is not accurate, simply put, it is a water product, not what I said, look well, as there are very obvious quality problems (digital display is not complete) and are taken out to sell, are not junk goods.","They replied, ""Yes, since there is, then why the time difference is so much, it must be a watch without accuracy, simply put, it is a parallel product, <v>it is not what I said it is hard to hear</v>, it looks, it is obvious quality problems (digital display is not complete) are brought out for sale, is not garbage.",it is not what I said it is hard to hear,Accuracy/Mistranslation,Major,Chinese,English
418,我联系厂家问手表在入库有核对时间吗?他们回复说“有”，既然有，那为啥时间相差那么多，那肯定是手表没有精确度，简单地说就是水货产品，不是我说的难听，看嘛，很明显的质量问题（数字显示不完全）都拿出来卖，是不是垃圾货。,"I contacted the manufacturer and asked if there was a time check on the watch in the warehouse, they replied ""yes"", since there is, so then why is the time difference so much? That must be because the watch is not accurate, simply put, it is a water product, not what I said, look well, as there are very obvious quality problems (digital display is not complete) and are taken out to sell, are not junk goods.","They replied, ""Yes, since there is, then why the time difference is so much, it must be a watch without accuracy, simply put, it is a parallel product, it is not what I said it is hard to hear, <v>it looks</v>, it is obvious quality problems (digital display is not complete) are brought out for sale, is not garbage.",it looks,Accuracy/Mistranslation,Major,Chinese,English
419,我联系厂家问手表在入库有核对时间吗?他们回复说“有”，既然有，那为啥时间相差那么多，那肯定是手表没有精确度，简单地说就是水货产品，不是我说的难听，看嘛，很明显的质量问题（数字显示不完全）都拿出来卖，是不是垃圾货。,"I contacted the manufacturer and asked if there was a time check on the watch in the warehouse, they replied ""yes"", since there is, so then why is the time difference so much? That must be because the watch is not accurate, simply put, it is a water product, not what I said, look well, as there are very obvious quality problems (digital display is not complete) and are taken out to sell, are not junk goods.","They replied, ""Yes, since there is, then why the time difference is so much, it must be a watch without accuracy, simply put, it is a parallel product, it is not what I said it is hard to hear, it looks, <v>it is</v> obvious quality problems (digital display is not complete) are brought out for sale, is not garbage.",it is,Accuracy/Mistranslation,Major,Chinese,English
420,我联系厂家问手表在入库有核对时间吗?他们回复说“有”，既然有，那为啥时间相差那么多，那肯定是手表没有精确度，简单地说就是水货产品，不是我说的难听，看嘛，很明显的质量问题（数字显示不完全）都拿出来卖，是不是垃圾货。,"I contacted the manufacturer and asked if there was a time check on the watch in the warehouse, they replied ""yes"", since there is, so then why is the time difference so much? That must be because the watch is not accurate, simply put, it is a water product, not what I said, look well, as there are very obvious quality problems (digital display is not complete) and are taken out to sell, are not junk goods.","They replied, ""Yes, since there is, then why the time difference is so much, it must be a watch without accuracy, simply put, it is a parallel product, it is not what I said it is hard to hear, it looks, it is obvious quality problems (digital display is not complete) <v>are brought out for sale</v>, is not garbage.",are brought out for sale,Accuracy/Mistranslation,Major,Chinese,English
421,我联系卖家，卖家说了一大堆的理由，还埋怨当初不应该买他们的东西，这样的产品，这样的卖家，这样的售后服务，以后谁还敢在亚马逊上买东西。,"I got in touch with the vendor, who gave me a long list of excuses for why I shouldn't have bought their goods and lamented that no one would ever dare to purchase anything from them in the future on Amazon with such products, sellers, and after-sales service.","I contacted the seller, who gave me a bunch of reasons, and complained that <v>they</v> should not have bought something, such a product, such a seller, such a after-sales service, who would dare to buy something on Amazon.",they,Accuracy/Mistranslation,Major,Chinese,English
422,我联系卖家，卖家说了一大堆的理由，还埋怨当初不应该买他们的东西，这样的产品，这样的卖家，这样的售后服务，以后谁还敢在亚马逊上买东西。,"I got in touch with the vendor, who gave me a long list of excuses for why I shouldn't have bought their goods and lamented that no one would ever dare to purchase anything from them in the future on Amazon with such products, sellers, and after-sales service.","I contacted the seller, who gave me a bunch of reasons, and complained that they should not have bought <v>something</v>, such a product, such a seller, such a after-sales service, who would dare to buy something on Amazon.",something,Accuracy/Mistranslation,Major,Chinese,English
423,总之我建议不要跟此卖家买东西，买了也是垃圾东西。,"To put it briefly, I advise against purchasing anything from this seller because it is also junk.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","I don't want to buy anything from <v>you</v>, I want to buy something from you.",you,Accuracy/Mistranslation,Major,Chinese,English
424,总之我建议不要跟此卖家买东西，买了也是垃圾东西。,"To put it briefly, I advise against purchasing anything from this seller because it is also junk.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","I don't want to buy anything from you, <v>I want to buy something from you</v>.",I want to buy something from you,Accuracy/Mistranslation,Major,Chinese,English
425,以前用过一块西铁城的，感觉一两年也不会差几秒。,"I've used Citizen previously, and I believe that it won't lag behind by a few seconds in a year or two.","I used a piece of <v>West Iron City</v> before, and it felt like a couple of seconds less than a year.",West Iron City,Accuracy/Mistranslation,Major,Chinese,English
426,以前用过一块西铁城的，感觉一两年也不会差几秒。,"I've used Citizen previously, and I believe that it won't lag behind by a few seconds in a year or two.","I used a piece of West Iron City before, and it <v>felt like a couple of seconds</v> less than a year.",felt like a couple of seconds,Accuracy/Mistranslation,Major,Chinese,English
427,以前用过一块西铁城的，感觉一两年也不会差几秒。,"I've used Citizen previously, and I believe that it won't lag behind by a few seconds in a year or two.","I used a piece of West Iron City before, and it felt like a couple of seconds <v>less than a year</v>.",less than a year,Accuracy/Mistranslation,Major,Chinese,English
428,表的走时是很准的，误差完全在可接受范围内，表的包装里有珠宝鉴定证书，表盘的12字那里是真钻石，这个自己戴很合适，作为礼品送出去也很有面子。,"The watch's trip time is extremely accurate, and its error is entirely within acceptable bounds, the 12 on the dial is a genuine diamond, and a certificate of jewelry appraisal is included with the watch, both as a present and as something you may wear by yourself, this is excellent.","The <v>table</v> is accurate, within acceptable limits, with a certificate of authenticity in the case of the jewel, and the 12 letters of the dial are genuine diamonds, which are suitable for wearing and for giving as a gift.",table,Accuracy/Mistranslation,Major,Chinese,English
429,表的走时是很准的，误差完全在可接受范围内，表的包装里有珠宝鉴定证书，表盘的12字那里是真钻石，这个自己戴很合适，作为礼品送出去也很有面子。,"The watch's trip time is extremely accurate, and its error is entirely within acceptable bounds, the 12 on the dial is a genuine diamond, and a certificate of jewelry appraisal is included with the watch, both as a present and as something you may wear by yourself, this is excellent.","The table is accurate, within acceptable limits, with a certificate of authenticity in the case of the <v>jewel</v>, and the 12 letters of the dial are genuine diamonds, which are suitable for wearing and for giving as a gift.",jewel,Accuracy/Mistranslation,Major,Chinese,English
430,表的走时是很准的，误差完全在可接受范围内，表的包装里有珠宝鉴定证书，表盘的12字那里是真钻石，这个自己戴很合适，作为礼品送出去也很有面子。,"The watch's trip time is extremely accurate, and its error is entirely within acceptable bounds, the 12 on the dial is a genuine diamond, and a certificate of jewelry appraisal is included with the watch, both as a present and as something you may wear by yourself, this is excellent.","The table is accurate, within acceptable limits, with a certificate of authenticity in the case of the jewel, and the <v>12 letters</v> of the dial are genuine diamonds, which are suitable for wearing and for giving as a gift.",12 letters,Accuracy/Mistranslation,Major,Chinese,English
431,之所以给3星，是因为这个是和人生的初恋买的，现在不知道用到什么程度了，或许扔掉了吧！,"I gave it 3 stars since I bought it with my first love in my life and now I'm not sure how much I've used it, so maybe toss it away!","This is the first time I've ever been in love with someone, and I don't know <v>how long it will last</v>, so I'm going to throw it away.",how long it will last,Accuracy/Mistranslation,Major,Chinese,English
432,之所以给3星，是因为这个是和人生的初恋买的，现在不知道用到什么程度了，或许扔掉了吧！,"I gave it 3 stars since I bought it with my first love in my life and now I'm not sure how much I've used it, so maybe toss it away!","This is the first time I've ever been in love with someone, and I don't know how long it will last, <v>so I'm going to throw it away</v>.",so I'm going to throw it away,Accuracy/Mistranslation,Major,Chinese,English
433,而且它的在线输入好了目的地，搜索之后自动设计出路线，离开wifi出发以后，它自动离线导航的功能很实用，不用跑流量，它直接跟卫星对话来实现定位及导航，非常好！,"Additionally, it has entered the destination online and, after searching, creates the route automatically, after disconnecting from the Wi-Fi, its automated offline navigation feature is very helpful since it instantly communicates with the satellite to achieve positioning and navigation without having to navigate through traffic, which is excellent!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>And its online input of the destination</v>, after the search automatically design the route, after leaving the wifi, its automatic offline navigation function is very practical, it does not run traffic, it directly talks to the satellite to achieve positioning and navigation, it is very good!",And its online input of the destination,Accuracy/Mistranslation,Major,Chinese,English
434,而且它的在线输入好了目的地，搜索之后自动设计出路线，离开wifi出发以后，它自动离线导航的功能很实用，不用跑流量，它直接跟卫星对话来实现定位及导航，非常好！,"Additionally, it has entered the destination online and, after searching, creates the route automatically, after disconnecting from the Wi-Fi, its automated offline navigation feature is very helpful since it instantly communicates with the satellite to achieve positioning and navigation without having to navigate through traffic, which is excellent!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","And its online input of the destination, <v>after the search automatically design the route</v>, after leaving the wifi, its automatic offline navigation function is very practical, it does not run traffic, it directly talks to the satellite to achieve positioning and navigation, it is very good!",after the search automatically design the route,Accuracy/Mistranslation,Major,Chinese,English
