id,source,reference,target,error_span,category,severity
362,北交所融资融券交易业务下周启动-中新网,“Beijing Financial Exchange's margin trading and securities lending business to launch next week - China News Network”,The <v>financing and securities</v> trading business of the Beijing Stock Exchange will start next week.-Sinomine.com,financing and securities,terminology,major
363,2月10日，证监会公告称，“基金E账户”APP在各手机应用商店上架并开展公开试运行。,"On February 10, the China Securities Regulatory Commission (CSRC) announced that the ""Fund E-account"" app has been made available on various mobile app stores and is undergoing public trial operation.","On February 10, the <v>SEC</v> announced that the E account of the EAPP was released on mobile app stores and was available in public trial.",SEC,terminology,major
364,北交所融资融券交易的启动是持续推进北交所市场制度建设、完善交易机制、提升二级市场定价功能的重要举措。,"The launch of margin trading and securities lending trading by Beijing Financial Exchange (Beijing Exchange) is an important measure in the continuous promotion of market system construction, improvement of trading mechanisms, and enhancement of the pricing function of the secondary market for the Beijing Exchange.","The launch of <v>margin trading</v> on the Beijing Stock Exchange is an important measure to continuously promote the construction of the market system of the Beijing Stock Exchange, improve the trading mechanism and enhance the pricing function of the secondary market.",margin trading,terminology,major
365,融资融券是证券市场重要的基础性制度，也是国际证券市场中较为成熟的交易方式。,Margin trading and securities lending is an important foundational system in the securities market and is also a more mature trading method in international securities markets.,"<v>Securities financing</v> is an important basic system in the securities market, and it is also a more mature transaction method in the international securities market.",Securities financing,terminology,major
366,北交所融资融券交易业务下周启动-中新网,“Beijing Financial Exchange's margin trading and securities lending business to launch next week - China News Network”,<v>Margin trading and securities lending</v> business of Beijing Stock Exchange will start next week-Chinanews.com,Margin trading and securities lending,terminology,major
367,融资融券制度有利于丰富投资者交易策略，满足投资者多元交易需求，促进市场价格发现，进一步提升市场流动性。,"The margin trading and securities lending system is beneficial for enriching investors' trading strategies, meeting diverse trading demands, promoting market price discovery, and further enhancing market liquidity.","The <v>margin</v> system is conducive to enriching investors' trading strategies, meeting investors' diversified trading needs, promoting market price discovery, and further enhancing market liquidity.",margin,terminology,major
368,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","North Korean state media released a video on the 9th. <v>Jin Zhuai</v> snuggled up to her father, looked at each other tenderly several times, and whispered. She gently held her father's cheek with both hands and even touched his father's chest.",Jin Zhuai,inconsistency,major
369,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The Korean media has noted that Kim Jong Un's exposure has been increasing for the past three months since <v>his</v> first public appearance at the launch of the Mars 17 rocket on November 18 last year, and this is his fifth appearance in public to date.‏‏‏‏‏‏",his,inconsistency,major
370,中新财经记者夏宾,"Xia Bin, a reporter with China New Finance and Economics",<v>Sino-Singapore</v> Finance Reporter Xia Bin,Sino-Singapore,inconsistency,major
371,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","North Korean state media released a video on the 9th. <v>Jin Zhuai</v> snuggled up to her father, looked at each other tenderly several times, and whispered. She gently held her father's cheek with both hands and even touched his father's chest.",Jin Zhuai,inconsistency,major
372,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong Un looked at <v>her</v> daughter a couple of times on the podium, and the smiles on their faces never returned and they whispered in each other's ears, and Kim Jong Il held up his father's arms with his hands, while Kim Jong Un responded with a laugh.",her,inconsistency,major
373,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","South Korean media pointed out that Kim Jong-Ai has been exposed more and more in the past three months since <v>he</v> first showed his face in public on November 18 last year when he test-fired the Mars 17 missile, and this is the fifth time he has appeared on an official occasion.‏‏‏",he,inconsistency,major
374,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong-un looked at his daughter several times on the rostrum. The smiles on their faces never faded, and they whispered in each other's ears. At one point, Kim Joo-ae cupped <v>his</v> father's cheeks with both hands, and Kim Jong-un responded with a bright smile. .",his,inconsistency,major
375,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Following the invitation last month to Hong Kong tourism industry leaders to visit Australia and Hong Kong netizens to experience Macau Tourism + Macau, this time again Hong Kong tourism industry and media representatives will visit Australia to increase market promotion efforts to attract Hong Kong travelers to <v>Australia</v> to stay and consume, the two industries will work together to expand the Hong Kong-Australia connectivity and tourism market, and expand the domestic to overseas markets, to promote the recovery of the tourism industry in both countries.‏‏‏‏‏",Australia,inconsistency,major
376,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year when he test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time <v>he</v> has appeared on a formal occasion.‏‏",he,inconsistency,major
377,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year when he test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time he has appeared on a formal occasion.‏‏‏‏‏‏‏‏‏‏‏‏‏",his,inconsistency,major
378,据介绍，“基金E账户”为个人投资者提供公募基金账户及份额信息的“一站式”查询服务，旨在解决广大中小投资者遗忘账户、查询繁琐等行业服务痛点。,"According to the introduction, ""Fund E Account"" provides individual investors with a ""one-stop"" inquiry service for public fund account and share information, aiming to solve the majority of small and medium-sized investors forget account, cumbersome inquiries and other industry service pain points.","It is reported that <v>the Fund for Moneylenders E account</v> provides a one-stop Moneylenders e-enquiry service for individual investors to provide fund-for-fund accounts and share information, aimed at solving the pain points of the industry such as forgetting accounts, burdensome inquiries and other industry services for small and medium-sized investors.",the Fund for Moneylenders E account,inconsistency,major
379,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","KCNA has released a video of Kim Eil Jae standing by <v>his</v> father, looking at him and talking to him and his father, holding his face with her hands and even touching his chest in an interactive manner that is broadcast all over the country.",his,inconsistency,major
380,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong-un looked at his daughter several times on the podium. The smiles on their faces never faded, and they whispered to each other in their ears. At one point, Kim Ju-ae cupped <v>his</v> father's cheeks with both hands. Kim Jong-un also responded with a bright smile.",his,inconsistency,major
381,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","After inviting Hong Kong tourism industry leaders to visit <v>Australia</v> last month and Hong Kong netizens to experience Macau + Macau tourism firsthand, this year, Hong Kong tourism industry and media representatives are organizing a trip to Australia to increase marketing efforts and attract Hong Kong travellers to stay in Australia and invest, and the industry is negotiating to expand the port-to-port connections between Hong Kong and Macau and the tourism market, expanding the domestic market to overseas markets.‏‏‏‏‏‏",Australia,inconsistency,major
382,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Following last month's invitation to the leaders of the Hong Kong tourism industry to come to Australia for exchange visits and Hong Kong Internet experience Macau ""Tourism +"", this time again organized representatives of the Hong Kong tourism industry and the media to visit Australia, increase market promotion efforts, attract Hong Kong tourists to stay in Australia for consumption, the two industries more negotiated and joined hands to expand the Hong Kong-Macau ""<v>online</v> tour"" market, jointly expand the mainland and overseas markets, promote the recovery of the tourism industry in both places.‏‏‏‏‏‏‏‏‏‏",online,inconsistency,major
383,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year when <v>he</v> test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time he has appeared on a formal occasion.‏‏‏‏‏‏‏‏",he,inconsistency,major
384,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","After inviting Hong Kong tourism industry leaders to visit Australia last month and Hong Kong netizens to experience Macau + Macau tourism firsthand, this year, Hong Kong tourism industry and media representatives are organizing a trip to <v>Australia</v> to increase marketing efforts and attract Hong Kong travellers to stay in Australia and invest, and the industry is negotiating to expand the port-to-port connections between Hong Kong and Macau and the tourism market, expanding the domestic market to overseas markets.‏‏‏‏‏‏",Australia,inconsistency,major
385,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Following last month's invitation to the leaders of the Hong Kong tourism industry to come to Australia for exchange visits and Hong Kong Internet experience Macau ""Tourism +"", this time again organized representatives of the Hong Kong tourism industry and the media to visit <v>Australia</v>, increase market promotion efforts, attract Hong Kong tourists to stay in Australia for consumption, the two industries more negotiated and joined hands to expand the Hong Kong-Macau ""online tour"" market, jointly expand the mainland and overseas markets, promote the recovery of the tourism industry in both places.‏‏‏‏‏‏‏‏‏‏",Australia,inconsistency,major
386,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong-un looked at his daughter several times on the podium, the smile on the faces of the two never receded, but also whispered in each other's ears, Kim Lord once loved to raise <v>his</v> father's cheeks with both hands, Kim Jong-un also responded with a bright smile.",his,inconsistency,major
387,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","After inviting Hong Kong tourism industry leaders to come to Macau for exchange and investigation last month and Hong Kong Internet celebrities to experience Macau's ""<v>Travel</v> +"" first-hand, this time organizes Hong Kong tourism industry and media representatives to visit Macau again to increase marketing efforts and attract Hong Kong tourists to stay in Macau. The industries of the two places are even negotiating to join hands to expand the Hong Kong and Macau ""connected travel"" market, jointly expand the mainland and overseas markets, and promote the recovery of the tourism industry of the two places.‏‏",Travel,inconsistency,major
388,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Following last month's invitation to the leaders of the Hong Kong tourism industry to come to <v>Australia</v> for exchange visits and Hong Kong Internet experience Macau ""Tourism +"", this time again organized representatives of the Hong Kong tourism industry and the media to visit Australia, increase market promotion efforts, attract Hong Kong tourists to stay in Australia for consumption, the two industries more negotiated and joined hands to expand the Hong Kong-Macau ""online tour"" market, jointly expand the mainland and overseas markets, promote the recovery of the tourism industry in both places.‏‏‏‏‏‏‏‏‏‏",Australia,inconsistency,major
389,旅游局组织由香港政府旅游部门、旅游业界及传媒代表组成超过100人的大型香港考察团到澳门，两天(10日及11日)的日程除了工作会议和业界洽谈，香港旅行社业界及传媒代表更分批走访澳门多个旅游景点、酒店及旅游相关设施，为香港市场引进最新的澳门旅游产品，同时促进两地文旅联动，共拓港澳“联线同游”市场。,"MGTO organized a large-scale Hong Kong delegation of over 100 people from the Hong Kong government tourism department, travel trade and media representatives to Macau,in addition to working meetings and trade negotiations, the two-day (10th and 11th) program included visits to a number of tourist attractions, hotels and tourism-related facilities in batches by Hong Kong travel trade and media representatives to introduce the latest Macau tourism products to the Hong Kong market, as well as to promote the linkage of cultural tourism between the two places to jointly develop the ""joint tour"" market of Hong Kong and Macau.","The Tourism Bureau organized by the Hong Kong Government Tourism Department, tourism industry and media representatives of more than 100 people large-scale Hong Kong expedition to Macau, two days (10th and 11th) schedule in addition to working meetings and industry negotiations, Hong Kong travel industry and media representatives more in batch to visit Macau many tourist attractions, hotels and tourism-related facilities, for the Hong Kong market to introduce the latest Macau tourism products, while promoting the two-language brigade linkage, and jointly develop the Hong Kong-Macau ""<v>line</v> tour"" market.",line,inconsistency,major
390,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","After inviting Hong Kong tourism industry leaders to visit Australia last month and Hong Kong netizens to experience Macau + Macau tourism firsthand, this year, Hong Kong tourism industry and media representatives are organizing a trip to Australia to increase marketing efforts and attract Hong Kong travellers to stay in <v>Australia</v> and invest, and the industry is negotiating to expand the port-to-port connections between Hong Kong and Macau and the tourism market, expanding the domestic market to overseas markets.‏‏‏‏‏‏",Australia,inconsistency,major
391,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Kim Jong-il has been making public appearances for three months now, and this is the fifth time he has appeared in public since <v>he</v> first publicly appeared on November 18th, when he tested the Mars 17 rocket.‏‏‏‏‏",he,inconsistency,major
392,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year when he test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time he has appeared on a formal occasion.‏‏‏‏‏‏‏‏‏‏‏‏‏",his,inconsistency,major
393,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","South Korean media pointed out that since Kim Jong-ae first showed his face in public with the test launch of the Mars 17 missile on November 18 last year, the probability of exposure has been getting higher and higher in the past three months, and it is the fifth time <v>he</v> has appeared on a formal occasion.‏‏‏‏‏‏‏‏‏",he,inconsistency,major
394,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","North Korea's state media released a video on the 9th. Jin Zhuai snuggled up to her father, looked at each other tenderly several times, and whispered. She gently held her father's cheek with both hands and even touched <v>his</v> father's chest.",his,inconsistency,major
395,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong Un looked at her daughter a couple of times on the podium, and the smiles on their faces never returned and they whispered in each other's ears, and Kim Jong Il held up his father's arms with <v>his</v> hands, while Kim Jong Un responded with a laugh.",his,inconsistency,major
396,综合韩国“朝鲜新闻”等报导，金正恩、李雪主夫妇7日带著女儿金主爱出席晚宴的官方合照中，金主爱不仅罕见坐在父母正中间C位，在隔日晚间建军节第75周年阅兵仪式上，她还与金正恩一起登上主席台。,"Based on South Korean ""North Korea News"" and other reports, in the official group photo of Kim Jong-un and Li Xuezhu with their daughter Kim Joo-ae attending the dinner on the 7th, Kim Joo-ae is not only rarely sitting in the Center seat between her parents, but also on the 75th anniversary of the Army Day the next night at the military parade, she also stood on the rostrum with Kim Jong-un.","Based on South Korean ""North Korea News"" and other reports, in the official group photo of Kim Jong-un and Li Xuezhu with their daughter Kim Joo-ae attending the dinner on the 7th, Kim Joo-ae is not only rarely sitting in the C seat between <v>his</v> parents, but also on the 75th anniversary of the Army Day the next night, she also stood on the rostrum with Kim Jong-un.",his,inconsistency,major
397,其他官媒画面也显示，金主爱与金正恩坐在室内沙发椅上时，用手不断摸著父亲的脸；她与父亲挽著手走路时，一边用手摸在金正恩的胸口。,Other official media footage also shows Kim Jong-ae touching her father's face with her hand while sitting on a sofa chair in the room with Kim Jong-un; she touches her hand on Kim Jong-un's chest while walking arm-in-arm with her father.,"Other official media images also showed Kim <v>Yo-jong</v> sitting with Kim Jong-un on an indoor sofa, constantly touching her father's face with her hand; when she walked hand in hand with her father, she touched Kim Jong-un's chest with her hand.",Yo-jong,inconsistency,major
398,继上月邀请香港旅游业界领袖来澳交流考察及香港网红亲身体验澳门“旅游+”，这次再度组织香港旅游业界及传媒代表来澳考察，加大市场推广力度，吸引香港旅客来澳留宿消费，两地业界更洽商携手拓展港澳“联线同游”市场，共拓内地以至海外市场，促进两地旅游业复苏。,"Following last month's invitation to Hong Kong tourism industry leaders to Macau for exchanges and visits and Hong Kong netizens to experience Macau's ""tourism +"", this time again organized by the Hong Kong tourism industry and media representatives to visit Macau, increase marketing efforts to attract Hong Kong tourists to stay and spend in Macau, the two industries to discuss the development of Hong Kong and Macao ""joint tour"" market, to expand the mainland and overseas markets, to promote the recovery of tourism in both places.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Following last month's invitation to the leaders of the Hong Kong tourism industry to come to Australia for exchange visits and Hong Kong Internet experience Macau ""Tourism +"", this time again organized representatives of the Hong Kong tourism industry and the media to visit Australia, increase market promotion efforts, attract Hong Kong tourists to stay in <v>Australia</v> for consumption, the two industries more negotiated and joined hands to expand the Hong Kong-Macau ""online tour"" market, jointly expand the mainland and overseas markets, promote the recovery of the tourism industry in both places.‏‏‏‏‏‏‏‏‏‏",Australia,inconsistency,major
399,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made his first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Kim Jong-il has been making public appearances for three months now, and this is the fifth time <v>he</v> has appeared in public since he first publicly appeared on November 18th, when he tested the Mars 17 rocket.‏‏‏‏‏",he,inconsistency,major
400,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong-un looked at <v>his</v> daughter several times on the podium, and the smiles on their faces never faded, and they whispered in each other's ears. At one point, Kim Jong-un cupped his father's cheeks with his hands, and Kim Jong-un responded with a big smile.",his,inconsistency,major
401,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","North Korean state media released a video on the 9th. Jin Zhuai snuggled up to her father, looked at each other tenderly several times, and whispered. She gently held her father's cheek with both hands and even touched <v>his</v> father's chest.",his,inconsistency,major
402,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong-un looked at his daughter several times on the rostrum. The smiles on their faces never faded, and they whispered in each other's ears. At one point, Kim Joo-ae cupped <v>his</v> father's cheeks with both hands, and Kim Jong-un responded with a bright smile.",his,inconsistency,major
